id,type,class
6864,TOILET,4_open@1@1
6865,CORRIDOR,4_open@0@5
6866,KITCHEN,4_open@2@1
6867,SLEEPING,4_open@1@1
6868,CHILDREN,4_open@1@1
6869,STORAGE,4_open@1@1
6870,CORRIDOR,4_open@0@7
6871,SLEEPING,4_open@1@2
6872,CHILDREN,4_open@1@1
6873,BATH,4_open@1@2
6874,LIVING,4_open@1@3
6875,KITCHEN,4_open@1@2
6876,SLEEPING,4_open@1@1
6877,STORAGE,4_open@1@1
6878,EXTERIOR,4_open@2@1
6879,KITCHEN,4_open@2@1
6880,LIVING,4_open@1@2
6881,BATH,4_open@1@1
6882,SLEEPING,4_open@1@1
6883,SLEEPING,4_open@1@1
6884,CORRIDOR,4_open@0@5
6885,SLEEPING,4_open@1@1
6886,CORRIDOR,4_open@1@8
6887,SLEEPING,4_open@2@1
6888,BATH,4_open@2@1
6889,CORRIDOR,4_open@0@1
6890,KITCHEN,4_open@2@2
6891,LIVING,4_open@2@3
6892,SLEEPING,4_open@2@1
6893,CHILDREN,4_open@2@1
6894,STORAGE,4_open@2@1
6895,EXTERIOR,4_open@3@1
6896,ROOM,4_open@2@1
6897,LIVING,4_open@1@3
6898,TOILET,4_open@1@1
6899,CORRIDOR,4_open@0@5
6900,KITCHEN,4_open@2@1
6901,SLEEPING,4_open@1@1
6902,CHILDREN,4_open@1@1
6903,STORAGE,4_open@1@1
6904,SLEEPING,4_open@1@1
6905,BATH,4_open@1@1
6906,BATH,4_open@2@1
6907,SLEEPING,4_open@1@2
6908,CORRIDOR,4_open@0@7
6909,STORAGE,4_open@1@1
6910,KITCHEN,4_open@1@2
6911,LIVING,4_open@1@3
6912,CHILDREN,4_open@1@1
6913,EXTERIOR,4_open@2@1
6914,SLEEPING,4_open@1@1
6915,BATH,4_open@1@1
6916,BATH,4_open@2@1
6917,SLEEPING,4_open@1@2
6918,CORRIDOR,4_open@0@7
6919,STORAGE,4_open@1@1
6920,KITCHEN,4_open@1@2
6921,LIVING,4_open@1@3
6922,SLEEPING,4_open@1@1
6923,EXTERIOR,4_open@2@1
6924,WORKING,4_open@3@1
6925,KITCHEN,4_open@2@2
6926,BATH,4_open@1@1
6927,STORAGE,4_open@2@1
6928,SLEEPING,4_open@1@2
6929,LIVING,4_open@1@3
6930,CORRIDOR,4_open@0@4
6931,SLEEPING,4_open@1@1
6932,EXTERIOR,4_open@2@1
6933,ROOM,4_open@2@1
6934,LIVING,4_open@1@4
6935,TOILET,4_open@1@1
6936,CORRIDOR,4_open@0@4
6937,KITCHEN,4_open@2@1
6938,SLEEPING,4_open@1@1
6939,CHILDREN,4_open@1@1
6940,EXTERIOR,4_open@2@1
6941,CORRIDOR,4_open@0@7
6942,SLEEPING,4_open@1@2
6943,CHILDREN,4_open@1@1
6944,BATH,4_open@1@2
6945,LIVING,4_open@1@3
6946,KITCHEN,4_open@1@2
6947,SLEEPING,4_open@1@1
6948,STORAGE,4_open@1@1
6949,EXTERIOR,4_open@2@1
6950,CORRIDOR,4_open@0@7
6951,SLEEPING,4_open@1@2
6952,CHILDREN,4_open@1@1
6953,BATH,4_open@1@2
6954,LIVING,4_open@1@3
6955,KITCHEN,4_open@1@2
6956,CHILDREN,4_open@1@1
6957,STORAGE,4_open@1@1
6958,EXTERIOR,4_open@2@1
6959,EXTERIOR,4_open@2@1
6960,LIVING,4_open@1@3
6961,CORRIDOR,4_open@0@8
6962,SLEEPING,4_open@1@1
6963,BATH,4_open@1@1
6964,CORRIDOR,4_open@1@1
6965,KITCHEN,4_open@1@2
6966,SLEEPING,4_open@1@1
6967,CHILDREN,4_open@1@1
6968,STORAGE,4_open@1@1
6969,SLEEPING,4_open@1@1
6970,BATH,4_open@1@1
6971,SLEEPING,4_open@1@1
6972,CORRIDOR,4_open@0@6
6973,KITCHEN,4_open@2@1
6974,LIVING,4_open@1@2
6975,CHILDREN,4_open@1@1
6976,STORAGE,4_open@1@1
6977,ROOM,4_open@3@1
6978,LIVING,4_open@2@4
6979,CORRIDOR,4_open@1@4
6980,BATH,4_open@2@1
6981,CORRIDOR,4_open@0@4
6982,KITCHEN,4_open@2@2
6983,SLEEPING,4_open@1@1
6984,CHILDREN,4_open@1@1
6985,STORAGE,4_open@1@1
6986,EXTERIOR,4_open@3@1
6987,WORKING,4_open@3@1
6988,KITCHEN,4_open@2@2
6989,BATH,4_open@1@1
6990,STORAGE,4_open@2@1
6991,SLEEPING,4_open@1@2
6992,LIVING,4_open@1@2
6993,CORRIDOR,4_open@0@4
6994,CHILDREN,4_open@1@1
6995,CORRIDOR,4_open@1@8
6996,BATH,4_open@2@1
6997,SLEEPING,4_open@2@1
6998,CORRIDOR,4_open@1@1
6999,CORRIDOR,4_open@0@2
7000,KITCHEN,4_open@2@2
7001,LIVING,4_open@2@2
7002,SLEEPING,4_open@2@1
7003,CHILDREN,4_open@2@1
7004,STORAGE,4_open@2@1
7005,CORRIDOR,4_open@1@7
7006,BATH,4_open@2@1
7007,SLEEPING,4_open@2@1
7008,CORRIDOR,4_open@1@1
7009,CORRIDOR,4_open@0@2
7010,KITCHEN,4_open@2@2
7011,LIVING,4_open@2@3
7012,SLEEPING,4_open@2@1
7013,CHILDREN,4_open@2@1
7014,EXTERIOR,4_open@3@1
7015,ROOM,4_open@3@1
7016,LIVING,4_open@2@4
7017,CORRIDOR,4_open@1@4
7018,BATH,4_open@2@1
7019,CORRIDOR,4_open@0@4
7020,KITCHEN,4_open@2@2
7021,SLEEPING,4_open@1@1
7022,CHILDREN,4_open@1@1
7023,STORAGE,4_open@1@1
7024,EXTERIOR,4_open@3@1
7025,SLEEPING,4_open@1@1
7026,BATH,4_open@1@1
7027,SLEEPING,4_open@1@1
7028,CORRIDOR,4_open@0@5
7029,KITCHEN,4_open@2@1
7030,LIVING,4_open@1@2
7031,SLEEPING,4_open@1@1
7032,CORRIDOR,4_open@0@6
7033,SLEEPING,4_open@1@1
7034,LIVING,4_open@1@3
7035,BATH,4_open@1@1
7036,KITCHEN,4_open@2@1
7037,SLEEPING,4_open@1@1
7038,CHILDREN,4_open@1@1
7039,STORAGE,4_open@1@1
7040,EXTERIOR,4_open@2@1
7041,SLEEPING,4_open@2@1
7042,LIVING,4_open@1@3
7043,TOILET,4_open@1@1
7044,CORRIDOR,4_open@0@5
7045,KITCHEN,4_open@2@1
7046,SLEEPING,4_open@1@1
7047,CHILDREN,4_open@1@1
7048,STORAGE,4_open@1@1
7049,SLEEPING,4_open@1@1
7050,BATH,4_open@1@1
7051,KITCHEN,4_open@2@1
7052,SLEEPING,4_open@1@1
7053,LIVING,4_open@1@2
7054,CORRIDOR,4_open@0@5
7055,SLEEPING,4_open@1@1
7056,WORKING,4_open@3@1
7057,KITCHEN,4_open@2@2
7058,BATH,4_open@1@1
7059,STORAGE,4_open@2@1
7060,SLEEPING,4_open@1@2
7061,LIVING,4_open@1@2
7062,CORRIDOR,4_open@0@4
7063,SLEEPING,4_open@1@1
7064,KITCHEN,4_open@2@1
7065,LIVING,4_open@1@3
7066,BATH,4_open@1@1
7067,SLEEPING,4_open@1@1
7068,SLEEPING,4_open@1@1
7069,CORRIDOR,4_open@0@5
7070,CHILDREN,4_open@1@1
7071,EXTERIOR,4_open@2@1
7072,CORRIDOR,4_open@1@1
7073,CORRIDOR,4_open@0@7
7074,BATH,4_open@1@1
7075,SLEEPING,4_open@1@2
7076,LIVING,4_open@1@4
7077,KITCHEN,4_open@1@2
7078,SLEEPING,4_open@1@1
7079,CHILDREN,4_open@1@1
7080,EXTERIOR,4_open@2@1
7081,BATH,4_open@2@1
7082,SLEEPING,4_open@2@1
7083,CORRIDOR,4_open@1@7
7084,CORRIDOR,4_open@0@1
7085,KITCHEN,4_open@2@2
7086,LIVING,4_open@3@2
7087,SLEEPING,4_open@2@1
7088,CHILDREN,4_open@2@1
7089,STORAGE,4_open@2@1
7090,EXTERIOR,4_open@4@1
7091,WORKING,4_open@1@2
7092,CORRIDOR,4_open@0@5
7093,EXTERIOR,4_open@1@1
7094,LIVING,4_open@1@4
7095,EXTERIOR,4_open@2@1
7096,SLEEPING,4_open@2@1
7097,KITCHEN,4_open@2@1
7098,BATH,4_open@2@1
7099,CHILDREN,4_open@1@1
7100,STORAGE,4_open@1@1
7101,ROOM,4_open@3@1
7102,LIVING,4_open@2@3
7103,CORRIDOR,4_open@1@4
7104,BATH,4_open@2@1
7105,CORRIDOR,4_open@0@4
7106,KITCHEN,4_open@2@2
7107,SLEEPING,4_open@1@1
7108,CHILDREN,4_open@1@1
7109,STORAGE,4_open@1@1
7110,SLEEPING,4_open@1@1
7111,BATH,4_open@1@1
7112,BATH,4_open@2@1
7113,SLEEPING,4_open@1@2
7114,CORRIDOR,4_open@0@7
7115,STORAGE,4_open@1@1
7116,KITCHEN,4_open@1@2
7117,LIVING,4_open@1@2
7118,SLEEPING,4_open@1@1
7119,SLEEPING,4_open@1@1
7120,SLEEPING,4_open@1@1
7121,BATH,4_open@1@1
7122,KITCHEN,4_open@2@1
7123,CORRIDOR,4_open@0@6
7124,LIVING,4_open@1@3
7125,SLEEPING,4_open@1@1
7126,STORAGE,4_open@1@1
7127,EXTERIOR,4_open@2@1
7128,CORRIDOR,4_open@0@6
7129,SLEEPING,4_open@1@2
7130,CHILDREN,4_open@1@1
7131,BATH,4_open@1@2
7132,LIVING,4_open@1@2
7133,KITCHEN,4_open@1@2
7134,SLEEPING,4_open@1@1
7135,BATH,4_open@2@1
7136,SLEEPING,4_open@2@1
7137,CORRIDOR,4_open@1@6
7138,CORRIDOR,4_open@0@1
7139,KITCHEN,4_open@2@2
7140,LIVING,4_open@3@2
7141,SLEEPING,4_open@2@1
7142,CHILDREN,4_open@2@1
7143,EXTERIOR,4_open@4@1
7144,CORRIDOR,4_open@0@7
7145,SLEEPING,4_open@1@2
7146,WORKING,4_open@1@1
7147,BATH,4_open@1@2
7148,LIVING,4_open@1@2
7149,KITCHEN,4_open@1@2
7150,SLEEPING,4_open@1@1
7151,STORAGE,4_open@1@1
7152,BATH,4_open@1@1
7153,SLEEPING,4_open@1@2
7154,CORRIDOR,4_open@0@7
7155,CORRIDOR,4_open@1@1
7156,LIVING,4_open@1@3
7157,KITCHEN,4_open@2@1
7158,SLEEPING,4_open@1@1
7159,CHILDREN,4_open@1@1
7160,STORAGE,4_open@1@1
7161,CORRIDOR,4_open@0@6
7162,SLEEPING,4_open@1@2
7163,WORKING,4_open@1@1
7164,BATH,4_open@1@2
7165,LIVING,4_open@1@2
7166,KITCHEN,4_open@1@2
7167,SLEEPING,4_open@1@1
7168,SLEEPING,4_open@1@1
7169,BATH,4_open@1@1
7170,KITCHEN,4_open@2@1
7171,SLEEPING,4_open@1@1
7172,LIVING,4_open@1@2
7173,CORRIDOR,4_open@0@6
7174,SLEEPING,4_open@1@1
7175,STORAGE,4_open@1@1
7176,LIVING,4_open@2@1
7177,LIVING,4_open@1@3
7178,TOILET,4_open@1@1
7179,CORRIDOR,4_open@0@4
7180,KITCHEN,4_open@2@1
7181,SLEEPING,4_open@1@1
7182,CHILDREN,4_open@1@1
7183,LIVING,4_open@2@1
7184,LIVING,4_open@1@4
7185,TOILET,4_open@1@1
7186,CORRIDOR,4_open@0@5
7187,KITCHEN,4_open@2@1
7188,SLEEPING,4_open@1@1
7189,CHILDREN,4_open@1@1
7190,STORAGE,4_open@1@1
7191,EXTERIOR,4_open@2@1
7192,CORRIDOR,4_open@1@8
7193,BATH,4_open@2@1
7194,SLEEPING,4_open@2@1
7195,CORRIDOR,4_open@1@1
7196,CORRIDOR,4_open@0@2
7197,KITCHEN,4_open@2@2
7198,LIVING,4_open@2@3
7199,SLEEPING,4_open@2@1
7200,CHILDREN,4_open@2@1
7201,STORAGE,4_open@2@1
7202,EXTERIOR,4_open@3@1
7203,CORRIDOR,4_open@1@5
7204,BATH,4_open@2@1
7205,CORRIDOR,4_open@0@1
7206,LIVING,4_open@2@3
7207,KITCHEN,4_open@3@1
7208,SLEEPING,4_open@3@1
7209,SLEEPING,4_open@2@1
7210,CHILDREN,4_open@2@1
7211,ROOM,4_open@3@1
7212,LIVING,4_open@2@3
7213,CORRIDOR,4_open@1@4
7214,BATH,4_open@2@1
7215,CORRIDOR,4_open@0@4
7216,KITCHEN,4_open@2@2
7217,SLEEPING,4_open@1@1
7218,CHILDREN,4_open@1@1
7219,STORAGE,4_open@1@1
7220,KITCHEN,4_open@1@2
7221,BATH,4_open@1@1
7222,CORRIDOR,4_open@0@6
7223,LIVING,4_open@1@3
7224,SLEEPING,4_open@1@1
7225,SLEEPING,4_open@1@1
7226,CHILDREN,4_open@1@1
7227,EXTERIOR,4_open@2@1
7228,SLEEPING,4_open@1@1
7229,SLEEPING,4_open@1@1
7230,BATH,4_open@1@1
7231,KITCHEN,4_open@2@1
7232,CORRIDOR,4_open@0@5
7233,LIVING,4_open@1@3
7234,SLEEPING,4_open@1@1
7235,EXTERIOR,4_open@2@1
7236,CORRIDOR,4_open@1@8
7237,SLEEPING,4_open@2@1
7238,BATH,4_open@2@1
7239,CORRIDOR,4_open@0@1
7240,KITCHEN,4_open@2@2
7241,LIVING,4_open@2@3
7242,SLEEPING,4_open@2@1
7243,CHILDREN,4_open@2@1
7244,STORAGE,4_open@2@1
7245,EXTERIOR,4_open@3@1
7246,CORRIDOR,4_open@0@5
7247,SLEEPING,4_open@1@1
7248,LIVING,4_open@1@2
7249,BATH,4_open@1@1
7250,KITCHEN,4_open@2@1
7251,SLEEPING,4_open@1@1
7252,CHILDREN,4_open@1@1
7253,CORRIDOR,4_open@0@6
7254,SLEEPING,4_open@1@2
7255,WORKING,4_open@1@1
7256,BATH,4_open@1@2
7257,LIVING,4_open@1@2
7258,KITCHEN,4_open@1@2
7259,CHILDREN,4_open@1@1
7260,BATH,4_open@1@1
7261,SLEEPING,4_open@1@2
7262,CORRIDOR,4_open@0@6
7263,CORRIDOR,4_open@1@1
7264,LIVING,4_open@1@4
7265,KITCHEN,4_open@2@1
7266,SLEEPING,4_open@1@1
7267,CHILDREN,4_open@1@1
7268,EXTERIOR,4_open@2@1
7269,BATH,4_open@2@1
7270,SLEEPING,4_open@2@1
7271,CORRIDOR,4_open@1@7
7272,CORRIDOR,4_open@0@1
7273,KITCHEN,4_open@2@2
7274,LIVING,4_open@3@1
7275,SLEEPING,4_open@2@1
7276,CHILDREN,4_open@2@1
7277,STORAGE,4_open@2@1
7278,KITCHEN,4_open@2@2
7279,STORAGE,4_open@3@1
7280,SLEEPING,4_open@1@2
7281,BATH,4_open@2@1
7282,BATH,4_open@1@1
7283,LIVING,4_open@1@3
7284,CORRIDOR,4_open@0@5
7285,SLEEPING,4_open@1@1
7286,CHILDREN,4_open@1@1
7287,EXTERIOR,4_open@2@1
7288,LIVING,4_open@3@1
7289,LIVING,4_open@2@3
7290,CORRIDOR,4_open@1@4
7291,BATH,4_open@2@1
7292,CORRIDOR,4_open@0@4
7293,KITCHEN,4_open@2@2
7294,SLEEPING,4_open@1@1
7295,CHILDREN,4_open@1@1
7296,STORAGE,4_open@1@1
7297,LIVING,4_open@3@1
7298,LIVING,4_open@2@4
7299,CORRIDOR,4_open@1@4
7300,BATH,4_open@2@1
7301,CORRIDOR,4_open@0@4
7302,KITCHEN,4_open@2@2
7303,SLEEPING,4_open@1@1
7304,CHILDREN,4_open@1@1
7305,STORAGE,4_open@1@1
7306,EXTERIOR,4_open@3@1
7307,SLEEPING,4_open@1@1
7308,SLEEPING,4_open@1@1
7309,BATH,4_open@1@1
7310,KITCHEN,4_open@2@1
7311,CORRIDOR,4_open@0@6
7312,LIVING,4_open@1@3
7313,CHILDREN,4_open@1@1
7314,STORAGE,4_open@1@1
7315,EXTERIOR,4_open@2@1
7316,ROOM,4_open@3@1
7317,LIVING,4_open@2@4
7318,CORRIDOR,4_open@1@4
7319,BATH,4_open@2@1
7320,CORRIDOR,4_open@0@3
7321,KITCHEN,4_open@2@2
7322,SLEEPING,4_open@1@1
7323,CHILDREN,4_open@1@1
7324,EXTERIOR,4_open@3@1
7325,SLEEPING,4_open@2@1
7326,LIVING,4_open@1@3
7327,TOILET,4_open@1@1
7328,CORRIDOR,4_open@0@4
7329,KITCHEN,4_open@2@1
7330,SLEEPING,4_open@1@1
7331,CHILDREN,4_open@1@1
7332,BATH,4_open@2@1
7333,SLEEPING,4_open@1@3
7334,CORRIDOR,4_open@0@6
7335,CORRIDOR,4_open@1@1
7336,LIVING,4_open@1@4
7337,KITCHEN,4_open@2@1
7338,SLEEPING,4_open@1@1
7339,CHILDREN,4_open@1@1
7340,STORAGE,4_open@1@1
7341,EXTERIOR,4_open@2@1
7342,SLEEPING,4_open@1@1
7343,BATH,4_open@1@1
7344,KITCHEN,4_open@2@1
7345,SLEEPING,4_open@1@1
7346,LIVING,4_open@1@3
7347,CORRIDOR,4_open@0@6
7348,SLEEPING,4_open@1@1
7349,STORAGE,4_open@1@1
7350,EXTERIOR,4_open@2@1
7351,CORRIDOR,4_open@0@6
7352,SLEEPING,4_open@1@1
7353,LIVING,4_open@1@2
7354,BATH,4_open@1@1
7355,KITCHEN,4_open@2@1
7356,SLEEPING,4_open@1@1
7357,CHILDREN,4_open@1@1
7358,STORAGE,4_open@1@1
7359,KITCHEN,4_open@2@2
7360,STORAGE,4_open@3@1
7361,SLEEPING,4_open@1@2
7362,BATH,4_open@2@1
7363,BATH,4_open@1@1
7364,LIVING,4_open@1@2
7365,CORRIDOR,4_open@0@5
7366,SLEEPING,4_open@1@1
7367,SLEEPING,4_open@1@1
7368,BATH,4_open@2@1
7369,SLEEPING,4_open@1@3
7370,CORRIDOR,4_open@0@5
7371,CORRIDOR,4_open@1@1
7372,LIVING,4_open@1@3
7373,KITCHEN,4_open@2@1
7374,SLEEPING,4_open@1@1
7375,CHILDREN,4_open@1@1
7376,KITCHEN,4_open@2@1
7377,LIVING,4_open@1@3
7378,BATH,4_open@1@1
7379,SLEEPING,4_open@1@1
7380,SLEEPING,4_open@1@1
7381,CORRIDOR,4_open@0@6
7382,SLEEPING,4_open@1@1
7383,STORAGE,4_open@1@1
7384,EXTERIOR,4_open@2@1
7385,CORRIDOR,4_open@1@7
7386,SLEEPING,4_open@2@1
7387,BATH,4_open@2@1
7388,CORRIDOR,4_open@0@1
7389,KITCHEN,4_open@2@2
7390,LIVING,4_open@2@2
7391,SLEEPING,4_open@2@1
7392,CHILDREN,4_open@2@1
7393,CORRIDOR,4_open@0@7
7394,SLEEPING,4_open@1@2
7395,CHILDREN,4_open@1@1
7396,BATH,4_open@1@2
7397,LIVING,4_open@1@2
7398,KITCHEN,4_open@1@2
7399,CHILDREN,4_open@1@1
7400,STORAGE,4_open@1@1
7401,CORRIDOR,4_open@1@7
7402,BATH,4_open@2@1
7403,SLEEPING,4_open@2@1
7404,CORRIDOR,4_open@1@1
7405,CORRIDOR,4_open@0@2
7406,KITCHEN,4_open@2@2
7407,LIVING,4_open@2@2
7408,SLEEPING,4_open@2@1
7409,CHILDREN,4_open@2@1
7410,LIVING,4_open@2@1
7411,LIVING,4_open@1@3
7412,TOILET,4_open@1@1
7413,CORRIDOR,4_open@0@5
7414,KITCHEN,4_open@2@1
7415,SLEEPING,4_open@1@1
7416,CHILDREN,4_open@1@1
7417,STORAGE,4_open@1@1
7418,SLEEPING,4_open@1@1
7419,SLEEPING,4_open@1@1
7420,BATH,4_open@1@1
7421,KITCHEN,4_open@2@1
7422,CORRIDOR,4_open@0@5
7423,LIVING,4_open@1@2
7424,CHILDREN,4_open@1@1
7425,WORKING,4_open@1@2
7426,CORRIDOR,4_open@0@4
7427,EXTERIOR,4_open@1@1
7428,LIVING,4_open@1@4
7429,EXTERIOR,4_open@2@1
7430,SLEEPING,4_open@2@1
7431,KITCHEN,4_open@2@1
7432,BATH,4_open@2@1
7433,CHILDREN,4_open@1@1
7434,CORRIDOR,4_open@0@6
7435,SLEEPING,4_open@1@2
7436,CHILDREN,4_open@1@1
7437,BATH,4_open@1@2
7438,LIVING,4_open@1@2
7439,KITCHEN,4_open@1@2
7440,SLEEPING,4_open@1@1
7441,BATH,4_open@3@1
7442,SLEEPING,4_open@2@2
7443,CORRIDOR,4_open@1@5
7444,CORRIDOR,4_open@0@1
7445,KITCHEN,4_open@2@2
7446,LIVING,4_open@3@1
7447,SLEEPING,4_open@2@1
7448,CHILDREN,4_open@2@1
7449,BATH,4_open@2@1
7450,SLEEPING,4_open@1@3
7451,CORRIDOR,4_open@0@6
7452,CORRIDOR,4_open@1@1
7453,LIVING,4_open@1@3
7454,KITCHEN,4_open@2@1
7455,SLEEPING,4_open@1@1
7456,CHILDREN,4_open@1@1
7457,STORAGE,4_open@1@1
7458,SLEEPING,4_open@1@1
7459,BATH,4_open@1@1
7460,KITCHEN,4_open@2@1
7461,SLEEPING,4_open@1@1
7462,LIVING,4_open@1@3
7463,CORRIDOR,4_open@0@6
7464,CHILDREN,4_open@1@1
7465,STORAGE,4_open@1@1
7466,EXTERIOR,4_open@2@1
7467,CORRIDOR,4_open@0@7
7468,SLEEPING,4_open@1@2
7469,WORKING,4_open@1@1
7470,BATH,4_open@1@2
7471,LIVING,4_open@1@3
7472,KITCHEN,4_open@1@2
7473,SLEEPING,4_open@1@1
7474,STORAGE,4_open@1@1
7475,EXTERIOR,4_open@2@1
7476,CORRIDOR,4_open@0@6
7477,SLEEPING,4_open@1@2
7478,CHILDREN,4_open@1@1
7479,BATH,4_open@1@2
7480,LIVING,4_open@1@3
7481,KITCHEN,4_open@1@2
7482,CHILDREN,4_open@1@1
7483,EXTERIOR,4_open@2@1
7484,CORRIDOR,3_closed@1@1
7485,CORRIDOR,3_closed@0@4
7486,ROOM,3_closed@1@3
7487,TOILET,3_closed@2@1
7488,KITCHEN,3_closed@2@1
7489,SLEEPING,3_closed@1@1
7490,CHILDREN,3_closed@1@1
7491,TOILET,3_closed@2@1
7492,LIVING,3_closed@1@3
7493,CORRIDOR,3_closed@0@4
7494,KITCHEN,3_closed@2@1
7495,SLEEPING,3_closed@1@1
7496,CHILDREN,3_closed@1@1
7497,STORAGE,3_closed@1@1
7498,BATH,3_closed@2@1
7499,SLEEPING,3_closed@1@3
7500,CORRIDOR,3_closed@0@4
7501,CORRIDOR,3_closed@1@1
7502,LIVING,3_closed@1@3
7503,KITCHEN,3_closed@2@1
7504,CHILDREN,3_closed@1@1
7505,LIVING,3_closed@2@1
7506,LIVING,3_closed@1@3
7507,TOILET,3_closed@1@1
7508,CORRIDOR,3_closed@0@4
7509,KITCHEN,3_closed@2@1
7510,SLEEPING,3_closed@1@1
7511,STORAGE,3_closed@1@1
7512,ROOM,3_closed@1@3
7513,CORRIDOR,3_closed@0@4
7514,KITCHEN,3_closed@1@1
7515,TOILET,3_closed@1@1
7516,STORAGE,3_closed@2@1
7517,WORKING,3_closed@2@1
7518,SLEEPING,3_closed@1@1
7519,TOILET,3_closed@1@1
7520,CORRIDOR,3_closed@0@5
7521,KITCHEN,3_closed@1@1
7522,LIVING,3_closed@1@2
7523,SLEEPING,3_closed@1@2
7524,SLEEPING,3_closed@1@1
7525,TOILET,3_closed@1@1
7526,CORRIDOR,3_closed@0@5
7527,KITCHEN,3_closed@1@1
7528,LIVING,3_closed@1@2
7529,LIVING,3_closed@1@2
7530,CHILDREN,3_closed@1@1
7531,TOILET,3_closed@1@1
7532,CORRIDOR,3_closed@0@5
7533,KITCHEN,3_closed@1@1
7534,LIVING,3_closed@1@2
7535,ROOM,3_closed@1@2
7536,CHILDREN,3_closed@1@1
7537,ROOM,3_closed@1@3
7538,CORRIDOR,3_closed@0@4
7539,KITCHEN,3_closed@1@1
7540,TOILET,3_closed@1@1
7541,STORAGE,3_closed@2@1
7542,WORKING,3_closed@2@1
7543,SLEEPING,3_closed@1@1
7544,CORRIDOR,3_closed@1@6
7545,SLEEPING,3_closed@2@1
7546,BATH,3_closed@2@1
7547,CORRIDOR,3_closed@0@1
7548,KITCHEN,3_closed@2@2
7549,LIVING,3_closed@2@2
7550,SLEEPING,3_closed@2@1
7551,TOILET,3_closed@2@1
7552,SLEEPING,3_closed@1@3
7553,CORRIDOR,3_closed@0@3
7554,KITCHEN,3_closed@2@1
7555,SLEEPING,3_closed@1@1
7556,CHILDREN,3_closed@1@1
7557,CORRIDOR,3_closed@1@6
7558,SLEEPING,3_closed@2@1
7559,BATH,3_closed@2@1
7560,CORRIDOR,3_closed@0@1
7561,KITCHEN,3_closed@2@2
7562,LIVING,3_closed@2@2
7563,CHILDREN,3_closed@2@1
7564,CORRIDOR,3_closed@1@6
7565,SLEEPING,3_closed@2@1
7566,BATH,3_closed@2@1
7567,CORRIDOR,3_closed@0@1
7568,KITCHEN,3_closed@2@2
7569,LIVING,3_closed@2@3
7570,CHILDREN,3_closed@2@1
7571,EXTERIOR,3_closed@3@1
7572,SLEEPING,3_closed@1@3
7573,CORRIDOR,3_closed@0@4
7574,KITCHEN,3_closed@1@1
7575,TOILET,3_closed@1@1
7576,STORAGE,3_closed@2@1
7577,WORKING,3_closed@2@1
7578,LIVING,3_closed@1@2
7579,EXTERIOR,3_closed@2@1
7580,TOILET,3_closed@1@1
7581,CORRIDOR,3_closed@0@5
7582,KITCHEN,3_closed@1@1
7583,LIVING,3_closed@1@3
7584,LIVING,3_closed@1@2
7585,SLEEPING,3_closed@1@1
7586,EXTERIOR,3_closed@2@1
7587,ROOM,3_closed@1@3
7588,CORRIDOR,3_closed@0@4
7589,KITCHEN,3_closed@1@1
7590,TOILET,3_closed@1@1
7591,STORAGE,3_closed@2@1
7592,CHILDREN,3_closed@2@1
7593,LIVING,3_closed@1@1
7594,LIVING,3_closed@3@1
7595,LIVING,3_closed@2@3
7596,CORRIDOR,3_closed@1@4
7597,KITCHEN,3_closed@2@1
7598,CORRIDOR,3_closed@0@3
7599,BATH,3_closed@2@2
7600,CHILDREN,3_closed@1@1
7601,STORAGE,3_closed@1@1
7602,TOILET,3_closed@1@1
7603,CORRIDOR,3_closed@0@6
7604,KITCHEN,3_closed@1@1
7605,LIVING,3_closed@1@2
7606,LIVING,3_closed@1@2
7607,SLEEPING,3_closed@1@1
7608,STORAGE,3_closed@1@1
7609,TOILET,3_closed@1@1
7610,CORRIDOR,3_closed@0@6
7611,ROOM,3_closed@1@2
7612,KITCHEN,3_closed@1@2
7613,SLEEPING,3_closed@1@1
7614,CHILDREN,3_closed@1@1
7615,STORAGE,3_closed@1@1
7616,SLEEPING,3_closed@3@1
7617,SLEEPING,3_closed@2@3
7618,CORRIDOR,3_closed@1@4
7619,KITCHEN,3_closed@2@1
7620,CORRIDOR,3_closed@0@3
7621,BATH,3_closed@2@2
7622,SLEEPING,3_closed@1@1
7623,STORAGE,3_closed@1@1
7624,BATH,3_closed@2@1
7625,SLEEPING,3_closed@1@3
7626,CORRIDOR,3_closed@0@4
7627,CORRIDOR,3_closed@1@2
7628,LIVING,3_closed@1@3
7629,KITCHEN,3_closed@2@1
7630,SLEEPING,3_closed@1@1
7631,EXTERIOR,3_closed@2@1
7632,LIVING,3_closed@1@4
7633,STORAGE,3_closed@2@1
7634,WORKING,3_closed@2@1
7635,CORRIDOR,3_closed@0@4
7636,LIVING,3_closed@1@1
7637,TOILET,3_closed@1@1
7638,KITCHEN,3_closed@1@1
7639,EXTERIOR,3_closed@2@1
7640,ROOM,3_closed@3@1
7641,LIVING,3_closed@2@4
7642,CORRIDOR,3_closed@1@4
7643,KITCHEN,3_closed@2@1
7644,CORRIDOR,3_closed@0@3
7645,BATH,3_closed@2@2
7646,CHILDREN,3_closed@1@1
7647,STORAGE,3_closed@1@1
7648,EXTERIOR,3_closed@3@1
7649,CORRIDOR,3_closed@1@7
7650,SLEEPING,3_closed@2@1
7651,BATH,3_closed@2@1
7652,CORRIDOR,3_closed@0@1
7653,KITCHEN,3_closed@2@2
